listing_id,host_id,listing_type,reviews,satisfaction_rate,accommodates,bedrooms,price,latitude,longitude
8929292,1474050,Shared room,10,4,1,1,30,51.457475,-2.608083
1290163,1474050,Shared room,25,4,1,1,30,51.458072,-2.608734
14765548,25806163,Shared room,2,0,1,1,24,51.48251,-2.586591
8821381,1474050,Shared room,9,4.5,1,1,29,51.457811,-2.608365
8821171,1474050,Shared room,13,4.5,1,1,31,51.4569,-2.60861
15534134,94590149,Shared room,1,0,2,1,45,51.439006,-2.533439
14998783,94590149,Shared room,6,4,2,1,36,51.437636,-2.535655
14234345,23478992,Shared room,10,4.5,1,1,30,51.440025,-2.592855
1004836,1474050,Shared room,28,4,1,1,32,51.457479,-2.608216
16026130,20727144,Shared room,0,0,6,1,85,51.479357,-2.581674
13951595,83045529,Shared room,1,0,1,1,130,51.472917,-2.555335
14998788,94590149,Shared room,5,5,4,1,24,51.439693,-2.535526
16257906,100015287,Shared room,0,0,1,1,22,51.455385,-2.588215
13037490,3628003,Shared room,13,5,4,1,39,51.477175,-2.610234
6889638,35406669,Shared room,124,4.5,2,1,36,51.451271,-2.589923
14804496,78801578,Shared room,0,0,1,1,22,51.480039,-2.588091
1058214,1474050,Shared room,23,4,1,1,27,51.456301,-2.606794
4675994,12629324,Shared room,124,4.5,2,1,30,51.446427,-2.613396
5574234,27609728,Shared room,62,5,2,1,25,51.457254,-2.555705
3960179,20522861,Entire home/apt,1,0,5,3,129,51.496993,-2.646597
15858299,100569966,Entire home/apt,0,0,2,1,84,51.465362,-2.605288
14307399,15361876,Entire home/apt,0,0,3,2,84,51.46768,-2.56295
3766960,19298185,Entire home/apt,8,5,4,2,162,51.436471,-2.556779
12418474,60611927,Entire home/apt,1,0,2,1,162,51.455577,-2.588924
5987632,31057425,Entire home/apt,7,4.5,2,1,77,51.453671,-2.619905
9712712,11930920,Entire home/apt,11,5,4,2,162,51.460622,-2.622159
11789909,62790270,Entire home/apt,17,4,2,1,90,51.463904,-2.590989
11859584,54467250,Entire home/apt,10,5,2,1,106,51.456495,-2.611569
1337681,7254449,Entire home/apt,7,4.5,8,5,453,51.47366,-2.639052
9899518,50913014,Entire home/apt,30,5,3,1,84,51.471485,-2.638376
4516217,22764146,Entire home/apt,2,0,4,3,152,51.496758,-2.649063
15582807,52701992,Entire home/apt,3,4.5,4,1,104,51.487558,-2.677727
14724540,88368320,Entire home/apt,2,0,16,5,519,51.486969,-2.677178
13984967,83460028,Entire home/apt,0,0,16,5,1231,51.479649,-2.63925
9493540,49205078,Entire home/apt,18,4.5,5,3,110,51.485833,-2.647742
13133203,20522861,Entire home/apt,0,0,5,3,129,51.495598,-2.64734
15630244,51686051,Entire home/apt,0,0,2,0,71,51.488808,-2.673195
6613273,34607760,Entire home/apt,2,0,5,3,97,51.495453,-2.649067
16063136,22764146,Entire home/apt,0,0,5,3,129,51.494951,-2.647556
10670402,52557181,Entire home/apt,11,5,2,0,91,51.494932,-2.639192
6631663,34607491,Entire home/apt,1,0,5,3,129,51.497656,-2.647605
15824790,53543750,Entire home/apt,1,0,5,3,165,51.497574,-2.647931
15705791,34607491,Entire home/apt,1,0,4,3,129,51.495925,-2.647449
13792660,77046591,Entire home/apt,1,0,4,2,97,51.501012,-2.650348
12343517,3234189,Entire home/apt,6,5,3,1,84,51.4745,-2.637503
7541600,12144343,Entire home/apt,16,5,4,2,91,51.435293,-2.61003
12017766,64287270,Entire home/apt,4,4.5,5,3,195,51.435325,-2.615549
8947500,46768612,Entire home/apt,4,5,4,2,84,51.441294,-2.619732
4006315,20772752,Entire home/apt,31,5,7,3,220,51.43848,-2.615896
12038639,64443484,Entire home/apt,6,4.5,4,2,156,51.441217,-2.613502
